movie_title,genre
Agent Cody Banks,Crime
Agent Cody Banks,Family
Agent Cody Banks,Romance
Agent Cody Banks,Thriller
Agent Cody Banks 2: Destination London,Action
Agent Cody Banks 2: Destination London,Adventure
Agent Cody Banks 2: Destination London,Comedy
Agent Cody Banks 2: Destination London,Family
Agent Cody Banks 2: Destination London,Romance
Agent Cody Banks 2: Destination London,Sci-Fi
Agora,Adventure
Agora,Drama
Agora,History
Agora,Romance
Aimee & Jaguar,Biography
Aimee & Jaguar,Drama
Aimee & Jaguar,Romance
Aimee & Jaguar,War
Air Bud,Comedy
Air Bud,Drama
Air Bud,Family
Air Bud,Sport
Air Force One,Action
Air Force One,Adventure
Air Force One,Drama
Air Force One,Thriller
Airborne,Adventure
Airborne,Comedy
Airborne,Sport
Airlift,Action
Airlift,Drama
Airlift,History
Airlift,Thriller
Airlift,War
Airplane!,Comedy
Ajami,Crime
Ajami,Drama
Akeelah and the Bee,Drama
Akira,Action
Akira,Animation
Akira,Sci-Fi
Aladdin,Adventure
Aladdin,Animation
Aladdin,Comedy
Aladdin,Family
Aladdin,Fantasy
Aladdin,Musical
Aladdin,Romance
Albert Nobbs,Drama
Albino Alligator,Crime
Albino Alligator,Drama
Albino Alligator,Thriller
Alex & Emma,Comedy
Alex & Emma,Romance
Alex Cross,Action
Alex Cross,Crime
Alex Cross,Mystery
Alex Cross,Thriller
Alex Rider: Operation Stormbreaker,Action
Alex Rider: Operation Stormbreaker,Adventure
Alex Rider: Operation Stormbreaker,Family
Alex Rider: Operation Stormbreaker,Thriller
Alexander,Action
Alexander,Adventure
Alexander,Biography
Alexander,Drama
Alexander,History
Alexander,Romance
Alexander,War
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",Comedy
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",Family
Alexander's Ragtime Band,Drama
Alexander's Ragtime Band,Musical
Alexander's Ragtime Band,Romance
Alfie,Comedy
Alfie,Drama
Alfie,Romance
Ali,Biography
Ali,Drama
Ali,Sport
Alias Betty,Comedy
Alias Betty,Crime
Alias Betty,Drama
Alias Betty,Romance
Alias Betty,Thriller
Alice Through the Looking Glass,Adventure
Alice Through the Looking Glass,Family
Alice Through the Looking Glass,Fantasy
Alice in Wonderland,Adventure
Alice in Wonderland,Family
Alice in Wonderland,Fantasy
Alien,Horror
Alien,Sci-Fi
Alien 3,Action
Alien 3,Horror
Alien 3,Sci-Fi
Alien Uprising,Comedy
Alien Uprising,Sci-Fi
Alien Zone,Horror
Alien: Resurrection,Action
Alien: Resurrection,Horror
Alien: Resurrection,Sci-Fi
Aliens,Action
Aliens,Adventure
Aliens,Sci-Fi
Aliens in the Attic,Adventure
Aliens in the Attic,Comedy
Aliens in the Attic,Family
Aliens in the Attic,Fantasy
Aliens in the Attic,Sci-Fi
Aliens vs. Predator: Requiem,Action
Aliens vs. Predator: Requiem,Horror
Aliens vs. Predator: Requiem,Sci-Fi
Aliens vs. Predator: Requiem,Thriller
Alive,Adventure
Alive,Biography
Alive,Drama
Alive,Thriller
All About Steve,Comedy
All About Steve,Romance
All About the Benjamins,Action
All About the Benjamins,Comedy
